Datum,Umsatz,Warengruppe,Warengruppe_Name,Wochentag,Jahreszeit,ist_feiertag,ist_sonntag,ist_kiwo,Wettercode_fehlt,Warengruppe_Name,Warengruppe_Brot,Jahreszeit_Winter,Jahr_normalized,Monat_normalized,Tag_normalized,Wochentag_Nr_normalized,Temperatur_normalized,Windgeschwindigkeit_normalized,Bewoelkung_normalized,Preisindex_normalized
2016-01-01,1307011,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307021,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307031,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307041,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307051,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307061,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307071,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307081,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307091,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307101,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307111,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307121,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307131,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307141,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307151,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307161,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307171,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307181,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307191,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307201,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307211,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,1307221,1,Brot,Friday,Winter,1,0,0,0,Brot,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
