Datum;Feiertag
14.05.2015;Christi Himmelfahrt
24.05.2015;Pfingsten
25.05.2015;Pfingstmontag
01.05.2015;Tag der Arbeit
03.10.2015;Tag der deutschen Einheit
24.12.2015;Heiligabend
25.12.2015;1. Weihnachtsfeiertag
26.12.2015;2. Weihnachtsfeiertag
31.12.2015;Silvester
01.01.2016;Neujahr
25.03.2016;Karfreitag
27.03.2016;Ostern
28.03.2016;Ostermontag
05.05.2016;Christi Himmelfahrt
15.05.2016;Pfingsten
16.05.2016;Pfingstmontag
01.05.2016;Tag der Arbeit
03.10.2016;Tag der deutschen Einheit
24.12.2016;Heiligabend
25.12.2016;1. Weihnachtsfeiertag
26.12.2016;2. Weihnachtsfeiertag
31.12.2016;Silvester
01.01.2017;Neujahr
14.04.2017;Karfreitag
16.04.2017;Ostern
17.04.2017;Ostermontag
25.05.2017;Christi Himmelfahrt
04.06.2017;Pfingsten
05.06.2017;Pfingstmontag
01.05.2017;Tag der Arbeit
03.10.2017;Tag der deutschen Einheit
24.12.2017;Heiligabend
25.12.2017;1. Weihnachtsfeiertag
26.12.2017;2. Weihnachtsfeiertag
31.12.2017;Silvester
01.01.2018;Neujahr
30.03.2018;Karfreitag
01.04.2018;Ostern
02.04.2018;Ostermontag
10.05.2018;Christi Himmelfahrt
20.05.2018;Pfingsten
21.05.2018;Pfingstmontag
01.05.2018;Tag der Arbeit
03.10.2018;Tag der deutschen Einheit
24.12.2018;Heiligabend
25.12.2018;1. Weihnachtsfeiertag
26.12.2018;2. Weihnachtsfeiertag
31.12.2018;Silvester
01.01.2019;Neujahr
19.04.2019;Karfreitag
21.04.2019;Ostern
22.04.2019;Ostermontag
30.05.2019;Christi Himmelfahrt
09.06.2019;Pfingsten
10.06.2019;Pfingstmontag
01.05.2019;Tag der Arbeit
03.10.2019;Tag der deutschen Einheit
24.12.2019;Heiligabend
25.12.2019;1. Weihnachtsfeiertag
26.12.2019;2. Weihnachtsfeiertag
31.12.2019;Silvester
01.01.2020;Neujahr
10.04.2020;Karfreitag
12.04.2020;Ostern
13.04.2020;Ostermontag
21.05.2020;Christi Himmelfahrt
31.05.2020;Pfingsten
01.06.2020;Pfingstmontag
01.05.2020;Tag der Arbeit
03.10.2020;Tag der deutschen Einheit
24.12.2020;Heiligabend
25.12.2020;1. Weihnachtsfeiertag
26.12.2020;2. Weihnachtsfeiertag
31.12.2020;Silvester
01.01.2021;Neujahr
02.04.2021;Karfreitag
04.04.2021;Ostern
05.04.2021;Ostermontag
13.05.2021;Christi Himmelfahrt
23.05.2021;Pfingsten
24.05.2021;Pfingstmontag
01.05.2021;Tag der Arbeit
03.10.2021;Tag der deutschen Einheit
24.12.2021;Heiligabend
25.12.2021;1. Weihnachtsfeiertag
26.12.2021;2. Weihnachtsfeiertag
31.12.2021;Silvester
01.01.2022;Neujahr
15.04.2022;Karfreitag
17.04.2022;Ostern
18.04.2022;Ostermontag
26.05.2022;Christi Himmelfahrt
05.06.2022;Pfingsten
06.06.2022;Pfingstmontag
01.05.2022;Tag der Arbeit
03.10.2022;Tag der deutschen Einheit
24.12.2022;Heiligabend
25.12.2022;1. Weihnachtsfeiertag
26.12.2022;2. Weihnachtsfeiertag
31.12.2022;Silvester
01.01.2023;Neujahr
07.04.2023;Karfreitag
09.04.2023;Ostern
10.04.2023;Ostermontag
18.05.2023;Christi Himmelfahrt
28.05.2023;Pfingsten
29.05.2023;Pfingstmontag
01.05.2023;Tag der Arbeit
03.10.2023;Tag der deutschen Einheit
24.12.2023;Heiligabend
25.12.2023;1. Weihnachtsfeiertag
26.12.2023;2. Weihnachtsfeiertag
31.12.2023;Silvester
01.01.2024;Neujahr
29.03.2024;Karfreitag
31.03.2024;Ostern
01.04.2024;Ostermontag
09.05.2024;Christi Himmelfahrt
19.05.2024;Pfingsten
20.05.2024;Pfingstmontag
01.05.2024;Tag der Arbeit
03.10.2024;Tag der deutschen Einheit
24.12.2024;Heiligabend
25.12.2024;1. Weihnachtsfeiertag
26.12.2024;2. Weihnachtsfeiertag
31.12.2024;Silvester
01.01.2025;Neujahr
18.04.2025;Karfreitag
20.04.2025;Ostern
21.04.2025;Ostermontag
29.05.2025;Christi Himmelfahrt
08.06.2025;Pfingsten
09.06.2025;Pfingstmontag
01.05.2025;Tag der Arbeit
03.10.2025;Tag der deutschen Einheit
